badid;bad;adresse1;adresse2;plz;ort;kanton;beckenid;becken;typ;Latitude;Longitude;returned address;accuracy;status code
151;Seebad Lej Marsch;;Seebad Lej Marsch;7500;St. Moritz;GR;329;See;See;46.474558;9.81952;Lej Marsch, 7500 St. Moritz, Schweiz;3;200
199;Badi;Badi Steffisburg;Gummweg 50;3612;Steffisburg;BE;407;Kombibecken;Freibad;46.780776;7.64172;Gummweg 50, 3612 Steffisburg, Schweiz;9;200
206;Schwimmbad Steg;Schwimmbad Steg;Ohrütistrasse 22;8496;Steg;ZH;425;Schwimmerbecken;Freibad;47.346413;8.932531;Ohrütistrasse 22, 8496 Fischenthal, Schweiz;9;200
103;Strandbad;René Bühlmann;Strandbadweg 4;6210;Sursee;LU;240;Strandbad Sempachersee;See;47.174472;8.126344;Strandbadweg, 6210 Sursee, Schweiz;5;200
8;Arbeiterstrandbad;Arbeiterstrandbad Tennwil;Strandbadweg 1;5617;Tennwil;AG;28;Hallwilersee;See;47.303451;8.218354;Strandbadweg 1, 5617 Tennwil, Schweiz;9;200
36;Freibad;Freibad Teufen;Göbsistrasse 1294;9053;Teufen;AR;105;Sportbecken (50m);Freibad;47.383876;9.394257;Göbsistrasse 1294, 9053 Teufen, Schweiz;9;200
7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;3604;Thun;BE;23;Strandbad Thun (See);See;46.739784;7.630928;Strandbadweg 10, 3604 Thun, Schweiz;9;200
193;Waldschwimmbad Rheinau;Waldschwimmbad;Rheinau;7430;Thusis;GR;398;Schwimmbecken;Freibad;46.696014;9.439494;Thusis, Schweiz;3;200
225;Seebad;Strandbad Twann;Strandweg 29;2513;Twann;BE;477;Bielersee;See;47.095327;7.162283;Strandweg 29, 2513 Twann-Tüscherz, Schweiz;8;200
30;Freibad;Schwimmmbad Uetendorf;Riedernstrasse 25;3661;Uetendorf;BE;95;Schwimmerbecken;Freibad;46.770766;7.573354;Riedernstrasse 25, 3661 Uetendorf, Schweiz;9;200
114;Strandbad Lido;Strandbad Lido Unterägeri;Lidostrasse 113;6314;Unterägeri;ZG;265;Ägerisee;See;47.132611;8.593299;Lidostrasse 113, 6314 Unterägeri, Schweiz;9;200
196;Seebad;Uferweg 7;Uferweg 7;8610;Uster;ZH;402;Schwimmbecken;Freibad;47.341839;8.691684;Uferweg 7, 8610 Uster, Schweiz;9;200
105;Schwimmbad Waldacher;Schwimmbad Waldacher;Schwimmbadstrasse 1;8604;Volketswil;ZH;244;Schwimmbecken/Sprungbucht;Freibad;47.403285;8.675972;Schwimmbadstrasse 1, 8604 Volketswil, Schweiz;9;200
146;Freibad;Freibad Vulpera;Freibad Vulpera;7552;Vulpera;GR;324;Schwimmbecken;Freibad;46.781321;10.27761469;;;602
102;Schwimmbad;Schwimmbad Wangen a/A;Schachenstrasse 24;3380;Wangen a/A;BE;236;Schwimmbecken (50m);Freibad;47.237198;7.660101;Schachenstrasse 24, 3380 Wangen an der Aare, Schweiz;9;200
64;Lido / Hallenbad;Hertensteinstrasse 45;Hertensteinstrasse 45;6353;Weggis;LU;175;Schwimmbecken;Hallenbad;47.028886;8.419547;Hertensteinstrasse 45, 6353 Weggis, Schweiz;9;200
